 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling,
"Spa Sensations by Zinus 9 Metal Smart Box Spring Mattress Foundation Queen","B00NPVCPRM","https://www.amazon.com/dp/B00NPVCPRM","841550068634","","https://www.walmart.com/ip/44555807?selected=true","","1","280","0.00","","","22.4","169.44","Amazon","53.95","25.42","169.44","173.55","322","-164.51","-135.98000000000002","HOME_FURNITURE_AND_DECOR","Login to SC",
"GermGuardian AC4825E Air Purifier with HEPA Filter and UVC Sanitizer","B004VGIGVY","https://www.amazon.com/dp/B004VGIGVY","N/A","","https://www.overstock.com/Home-Garden/GermGuardian-AC4825E-Air-Purifier-with-HEPA-Filter-and-UVC-Sanitizer/30333202/product.html","","1","84.99","0.00","","","6.7992","84.99","Amazon","28.25","12.75","84.99","119.95","407","-28.25","-12.75","AIR_PURIFIER","Login to SC",
"Shark Navigator Freestyle Cordless Stick Vacuum Cleaner - SV1106","B00C351GBC","https://www.amazon.com/dp/B00C351GBC","622356533096","","https://www.walmart.com/ip/22789319?selected=true","","1","146","0.00","","","11.68","129.47","Amazon","35.41","19.42","129.47","184.89","252","-51.94","-35.95","VACUUM_CLEANER","Login to SC",
"Wireless Surveillance CameraWhite1080p","B0758L64L9","https://www.amazon.com/dp/B0758L64L9","N/A","","https://www.zoro.com/i/G3785168","","1","205.22","0.00","","","16.4176","N/A","Amazon","36.09","30","199.99","N/A","63","-41.31999999999999","-35.22999999999999","PORTABLE_ELECTRONIC_DEVICE_MOUNT","Login to SC",
"TCL 32 Class 1080P FHD LED Roku Smart TV 3 Series 32S327","B07F981R8M","https://www.amazon.com/dp/B07F981R8M","846042009973","","https://www.walmart.com/ip/409693367?selected=true","","1","218","0.00","","","17.44","218","Amazon","34.84","17.44","218","218","165","-34.84","-17.439999999999998","TELEVISION","Login to SC",
"Frigidaire 35-Pint Dehumidifier with Effortless Humidity Control White","B07Z5PMDD3","https://www.amazon.com/dp/B07Z5PMDD3","012505283598","","https://www.walmart.com/ip/512074322?selected=true","","1","178.2","0.00","","","14.255999999999998","178.2","Amazon","58.95","26.73","178.2","169.95","2,584","-58.95","-26.72999999999999","DEHUMIDIFIER","Login to SC",
"Navigator Lift-Away Upright Vacuum Cleaner","B004Q4DRJW","https://www.amazon.com/dp/B004Q4DRJW","622356530828","","https://www.homedepot.com/p/Shark-Navigator-Lift-Away-Upright-Vacuum-Cleaner-NV352/202872026","","1","174.59","0.00","","","13.9672","N/A","Amazon","43.27","23.97","179.41","159.77","461","-58.09","-38.78999999999999","VACUUM_CLEANER","Login to SC",
"Cuisinart Toaster Oven Broilers Air Fryer","B01K0W8LTE","https://www.amazon.com/dp/B01K0W8LTE","086279116710","","https://www.walmart.com/ip/918908248?selected=true","","1","193","0.00","","","15.44","N/A","Amazon","54.239999999999995","28.48","192","189.89","661","-57.35000000000002","-31.590000000000003","AIR_FRYER","Login to SC",
"Frigidaire 5000 BTU 115-Volt Window Air Conditioner White FFRA051WAE","B07RGM11L5","https://www.amazon.com/dp/B07RGM11L5","012505282959","","https://www.walmart.com/ip/851885182?selected=true","","1","152.68","0.00","","","12.214400000000001","N/A","Amazon","46.69","22.450000000000003","149.67","168","2,316","-49.70000000000002","-25.460000000000022","AIR_CONDITIONER","Login to SC",
"Zinus 6”  Twin Innerspring Mattress 2 Piece Set for Bunk Beds","B01N0KXNFX","https://www.amazon.com/dp/B01N0KXNFX","841550103267","","https://www.walmart.com/ip/401812808?selected=true","","1","179","0.00","","","14.32","175.05","Amazon","70.78","26.26","175.05","173.75","3,802","-74.72999999999999","-30.20999999999998","MATTRESS","Login to SC",
